run,skip_n,bench_type,arch,pol,prec,rec,acc,f1,time
0,1,speed,resnet50,drop-norm-n,0.0,0.0,0.0,0.0,0.7652423130348325
1,1,speed,resnet50,drop-norm-n,0.0,0.0,0.0,0.0,0.7897484241984785
2,1,speed,resnet50,drop-norm-n,0.0,0.0,0.0,0.0,0.7863345267251134
3,1,speed,resnet50,drop-norm-n,0.0,0.0,0.0,0.0,0.7387826568447053
4,1,speed,resnet50,drop-norm-n,0.0,0.0,0.0,0.0,0.7322226301766932
5,1,speed,resnet50,drop-norm-n,0.0,0.0,0.0,0.0,0.7771720988675952
6,1,speed,resnet50,drop-norm-n,0.0,0.0,0.0,0.0,0.6803816608153284
7,1,speed,resnet50,drop-norm-n,0.0,0.0,0.0,0.0,0.7704512127675116
8,1,speed,resnet50,drop-norm-n,0.0,0.0,0.0,0.0,0.7617549989372492
9,1,speed,resnet50,drop-norm-n,0.0,0.0,0.0,0.0,0.669268109370023
10,1,speed,resnet50,drop-norm-n,0.0,0.0,0.0,0.0,0.6780832181684673
11,1,speed,resnet50,drop-norm-n,0.0,0.0,0.0,0.0,0.7467663357965648
12,1,speed,resnet50,drop-norm-n,0.0,0.0,0.0,0.0,0.7326678833924234
13,1,speed,resnet50,drop-norm-n,0.0,0.0,0.0,0.0,0.7552134180441499
14,1,speed,resnet50,drop-norm-n,0.0,0.0,0.0,0.0,0.8317483440041542
15,1,speed,resnet50,drop-norm-n,0.0,0.0,0.0,0.0,0.7808162956498563
16,1,speed,resnet50,drop-norm-n,0.0,0.0,0.0,0.0,0.7299195919185877
17,1,speed,resnet50,drop-norm-n,0.0,0.0,0.0,0.0,0.7301502428017557
18,1,speed,resnet50,drop-norm-n,0.0,0.0,0.0,0.0,0.7145918873138726
19,1,speed,resnet50,drop-norm-n,0.0,0.0,0.0,0.0,0.6931353569962084
20,1,speed,resnet50,drop-norm-n,0.0,0.0,0.0,0.0,0.6545456079766154
21,1,speed,resnet50,drop-norm-n,0.0,0.0,0.0,0.0,0.6769029530696571
22,1,speed,resnet50,drop-norm-n,0.0,0.0,0.0,0.0,0.6837453488260508
23,1,speed,resnet50,drop-norm-n,0.0,0.0,0.0,0.0,0.7512092147953808
24,1,speed,resnet50,drop-norm-n,0.0,0.0,0.0,0.0,0.6943452530540526
25,1,speed,resnet50,drop-norm-n,0.0,0.0,0.0,0.0,0.6999672139063478
26,1,speed,resnet50,drop-norm-n,0.0,0.0,0.0,0.0,0.7028192151337862
27,1,speed,resnet50,drop-norm-n,0.0,0.0,0.0,0.0,0.7537744981236756
28,1,speed,resnet50,drop-norm-n,0.0,0.0,0.0,0.0,0.7077188231050968
29,1,speed,resnet50,drop-norm-n,0.0,0.0,0.0,0.0,0.6095973611809313
0,2,speed,resnet50,drop-norm-n,0.0,0.0,0.0,0.0,0.7194026596844196
1,2,speed,resnet50,drop-norm-n,0.0,0.0,0.0,0.0,0.6340003442019224
2,2,speed,resnet50,drop-norm-n,0.0,0.0,0.0,0.0,0.6772198071703315
3,2,speed,resnet50,drop-norm-n,0.0,0.0,0.0,0.0,0.7017906429246068
4,2,speed,resnet50,drop-norm-n,0.0,0.0,0.0,0.0,0.6672342629171908
5,2,speed,resnet50,drop-norm-n,0.0,0.0,0.0,0.0,0.6442159679718316
6,2,speed,resnet50,drop-norm-n,0.0,0.0,0.0,0.0,0.6498302510008216
7,2,speed,resnet50,drop-norm-n,0.0,0.0,0.0,0.0,0.7885535308159888
8,2,speed,resnet50,drop-norm-n,0.0,0.0,0.0,0.0,0.7002432607114315
9,2,speed,resnet50,drop-norm-n,0.0,0.0,0.0,0.0,0.6541931908577681
10,2,speed,resnet50,drop-norm-n,0.0,0.0,0.0,0.0,0.639127213973552
11,2,speed,resnet50,drop-norm-n,0.0,0.0,0.0,0.0,0.6906811580993235
12,2,speed,resnet50,drop-norm-n,0.0,0.0,0.0,0.0,0.6665366077795625
13,2,speed,resnet50,drop-norm-n,0.0,0.0,0.0,0.0,0.5770547888241708
14,2,speed,resnet50,drop-norm-n,0.0,0.0,0.0,0.0,0.5721865152008832
15,2,speed,resnet50,drop-norm-n,0.0,0.0,0.0,0.0,0.6315343948081136
16,2,speed,resnet50,drop-norm-n,0.0,0.0,0.0,0.0,0.7094679367728531
17,2,speed,resnet50,drop-norm-n,0.0,0.0,0.0,0.0,0.663511750753969
18,2,speed,resnet50,drop-norm-n,0.0,0.0,0.0,0.0,0.7237299671396613
19,2,speed,resnet50,drop-norm-n,0.0,0.0,0.0,0.0,0.6199932089075446
20,2,speed,resnet50,drop-norm-n,0.0,0.0,0.0,0.0,0.6727214278653264
21,2,speed,resnet50,drop-norm-n,0.0,0.0,0.0,0.0,0.6576465307734907
22,2,speed,resnet50,drop-norm-n,0.0,0.0,0.0,0.0,0.6515961582772434
23,2,speed,resnet50,drop-norm-n,0.0,0.0,0.0,0.0,0.6625485620461404
24,2,speed,resnet50,drop-norm-n,0.0,0.0,0.0,0.0,0.6801876449026167
25,2,speed,resnet50,drop-norm-n,0.0,0.0,0.0,0.0,0.5445097088813782
26,2,speed,resnet50,drop-norm-n,0.0,0.0,0.0,0.0,0.6674692751839757
27,2,speed,resnet50,drop-norm-n,0.0,0.0,0.0,0.0,0.6214492600411177
28,2,speed,resnet50,drop-norm-n,0.0,0.0,0.0,0.0,0.6820530821569264
29,2,speed,resnet50,drop-norm-n,0.0,0.0,0.0,0.0,0.7226273599080741
