precision,recall,f1-score,support
0.3786008230452675,0.9108910891089109,0.5348837209302325,101.0
0.16988416988416988,0.43564356435643564,0.2444444444444444,101.0
0.6521739130434783,0.15463917525773196,0.25,97.0
0.71875,0.22772277227722773,0.3458646616541354,101.0
0.8148148148148148,0.23655913978494625,0.3666666666666667,93.0
0.2641509433962264,0.27722772277227725,0.2705314009661836,101.0
0.8717948717948718,0.3333333333333333,0.48226950354609927,102.0
0.5362318840579711,0.7326732673267327,0.6192468619246863,101.0
0.46357615894039733,0.6862745098039216,0.5533596837944663,102.0
0.5323741007194245,0.7326732673267327,0.6166666666666667,101.0
0.7536231884057971,0.5148514851485149,0.611764705882353,101.0
0.8636363636363636,0.20652173913043478,0.33333333333333337,92.0
0.3333333333333333,0.07920792079207921,0.128,101.0
0.42857142857142855,0.12,0.1875,100.0
0.8958333333333334,0.5058823529411764,0.6466165413533834,85.0
0.11153358681875793,0.8712871287128713,0.19775280898876407,101.0
0.6976744186046512,0.3125,0.43165467625899284,96.0
0.5357142857142857,0.1485148514851485,0.23255813953488372,101.0
0.8666666666666667,0.12871287128712872,0.22413793103448276,101.0
0.9090909090909091,0.7,0.7909604519774012,100.0
0.8666666666666667,0.5148514851485149,0.6459627329192547,101.0
0.8214285714285714,0.45544554455445546,0.5859872611464968,101.0
0.47368421052631576,0.5567010309278351,0.5118483412322276,97.0
0.32558139534883723,0.4421052631578947,0.37500000000000006,95.0
0.8571428571428571,0.4752475247524752,0.6114649681528662,101.0
0.2524752475247525,0.504950495049505,0.3366336633663366,101.0
0.7272727272727273,0.08888888888888889,0.15841584158415842,90.0
0.6290322580645161,0.38613861386138615,0.4785276073619632,101.0
0.6538461538461539,0.33663366336633666,0.4444444444444445,101.0
0.297029702970297,0.6122448979591837,0.39999999999999997,98.0
0.42105263157894735,0.6464646464646465,0.5099601593625498,99.0
0.4117647058823529,0.3465346534653465,0.3763440860215054,101.0
0.6181818181818182,0.34,0.43870967741935485,100.0
0.95,0.18811881188118812,0.3140495867768595,101.0
1.0,0.0297029702970297,0.05769230769230769,101.0
0.7910447761194029,0.53,0.6347305389221557,100.0
0.8,0.04395604395604396,0.08333333333333336,91.0
0.8,0.20833333333333334,0.3305785123966943,96.0
0.35294117647058826,0.297029702970297,0.3225806451612903,101.0
0.39622641509433965,0.8484848484848485,0.5401929260450161,99.0
0.406273716164938,0.406273716164938,0.406273716164938,0.406273716164938
0.6060850126997823,0.4041737152341203,0.40561672080739974,3953.0
0.6036115391145105,0.406273716164938,0.40637776613107707,3953.0
