classifier,arch,time
1,msdnet5,36.059796999325044
1,msdnet5,33.693784000206506
1,msdnet5,31.826574999286095
1,msdnet5,30.21174300010898
1,msdnet5,29.51729000051273
1,msdnet5,32.753858002251945
1,msdnet5,30.339062999701127
1,msdnet5,30.945309001253918
1,msdnet5,30.636686002253555
1,msdnet5,30.257518999860622
1,msdnet5,29.777071002172306
1,msdnet5,29.400379997241544
1,msdnet5,32.00365000157035
1,msdnet5,29.675148998649092
1,msdnet5,30.192576999979792
1,msdnet5,31.761843001731904
1,msdnet5,31.85552999639185
1,msdnet5,31.84396799770184
1,msdnet5,29.853306001314195
1,msdnet5,32.664638998539886
1,msdnet5,29.008789999352302
1,msdnet5,29.628300999320345
1,msdnet5,31.25570700285607
1,msdnet5,30.58073099964531
1,msdnet5,31.14298400032567
1,msdnet5,28.962321997823892
1,msdnet5,31.707330002973322
1,msdnet5,35.503045000950806
1,msdnet5,32.04026999810594
1,msdnet5,32.37002300011227
2,msdnet5,55.472901000030106
2,msdnet5,54.438054001366254
2,msdnet5,55.32232599944109
2,msdnet5,53.78268599815783
2,msdnet5,53.67020400080946
2,msdnet5,59.03517300248495
2,msdnet5,65.39039600102114
2,msdnet5,56.74010599977919
2,msdnet5,56.21568500282592
2,msdnet5,59.865473998797825
2,msdnet5,54.44655099927331
2,msdnet5,58.454034999158466
2,msdnet5,55.733714001689805
2,msdnet5,55.56093799896189
2,msdnet5,55.37117900166777
2,msdnet5,59.91951599935419
2,msdnet5,55.39654700260144
2,msdnet5,55.7512779996614
2,msdnet5,63.869522000459256
2,msdnet5,60.68895100179361
2,msdnet5,60.27589000223088
2,msdnet5,60.49697799971909
2,msdnet5,58.59966199932387
2,msdnet5,53.67393199776416
2,msdnet5,58.873779998975806
2,msdnet5,56.90965800022241
2,msdnet5,59.1226300020935
2,msdnet5,61.5469620024669
2,msdnet5,61.862108999775955
2,msdnet5,60.50146599955042
3,msdnet5,82.92885799892247
3,msdnet5,85.08886100025848
3,msdnet5,79.97745000102441
3,msdnet5,79.71465299851843
3,msdnet5,73.9641539985314
3,msdnet5,73.41720999829704
3,msdnet5,85.91813900056877
3,msdnet5,72.80818900107988
3,msdnet5,84.96102100252756
3,msdnet5,83.43822200185969
3,msdnet5,74.35807900037616
3,msdnet5,83.91309999933583
3,msdnet5,75.41473700257484
3,msdnet5,74.94958700044663
3,msdnet5,83.6004189986852
3,msdnet5,76.02456899985555
3,msdnet5,75.59350500014261
3,msdnet5,72.21776400183444
3,msdnet5,72.54817799912416
3,msdnet5,71.7649979997077
3,msdnet5,73.94769500024267
3,msdnet5,72.64527299776091
3,msdnet5,84.87502900243271
3,msdnet5,82.03185599995777
3,msdnet5,85.7557640010782
3,msdnet5,75.53032599753351
3,msdnet5,74.88236100107315
3,msdnet5,73.58032999763964
3,msdnet5,83.72056799998973
3,msdnet5,71.73967199923936
4,msdnet5,93.66519499963033
4,msdnet5,87.48853100041742
4,msdnet5,96.30561599988141
4,msdnet5,97.09603999726824
4,msdnet5,91.29839199886192
4,msdnet5,90.79166399897076
4,msdnet5,85.2581850012939
4,msdnet5,86.49787899776129
4,msdnet5,91.1960289995477
4,msdnet5,97.20526799719664
4,msdnet5,83.01480499721947
4,msdnet5,104.52901199823827
4,msdnet5,100.25036300066859
4,msdnet5,97.33484399839654
4,msdnet5,95.55727299812133
4,msdnet5,96.23617699980969
4,msdnet5,94.13438399860752
4,msdnet5,93.15089499796159
4,msdnet5,93.17210500012152
4,msdnet5,92.51879100338556
4,msdnet5,84.42732600087766
4,msdnet5,84.98199399764417
4,msdnet5,95.77722999893012
4,msdnet5,99.3548020014714
4,msdnet5,104.09854899990023
4,msdnet5,99.62303999782307
4,msdnet5,101.14557799897739
4,msdnet5,99.69805199943949
4,msdnet5,98.5385510030028
4,msdnet5,101.50583900031052
5,msdnet5,107.19733799851383
5,msdnet5,94.64199500143877
5,msdnet5,107.27583700281684
5,msdnet5,96.46808699835674
5,msdnet5,104.53968599904329
5,msdnet5,93.87614799925359
5,msdnet5,97.85269500207505
5,msdnet5,106.34237299746019
5,msdnet5,94.18767800161731
5,msdnet5,101.72171899830573
5,msdnet5,101.77142400061712
5,msdnet5,99.14689200013527
5,msdnet5,99.93391000170959
5,msdnet5,99.96520899949246
5,msdnet5,109.41024299972923
5,msdnet5,108.07341699910467
5,msdnet5,93.60647999710636
5,msdnet5,97.71490600178367
5,msdnet5,104.51078199912445
5,msdnet5,97.88746199774323
5,msdnet5,96.72837199832429
5,msdnet5,104.61928799850284
5,msdnet5,100.94482199929189
5,msdnet5,107.19701099878876
5,msdnet5,100.18755200144369
5,msdnet5,104.56730100122513
5,msdnet5,103.02991500066128
5,msdnet5,102.17407700110925
5,msdnet5,100.58037400085595
5,msdnet5,100.25488899918855
