precision,recall,f1-score,support
0.8518518518518519,0.9108910891089109,0.8803827751196173,101.0
0.35294117647058826,0.297029702970297,0.3225806451612903,101.0
0.7216494845360825,0.7216494845360825,0.7216494845360826,97.0
0.6481481481481481,0.693069306930693,0.6698564593301435,101.0
0.7303370786516854,0.6989247311827957,0.7142857142857143,93.0
0.45555555555555555,0.40594059405940597,0.4293193717277487,101.0
0.7745098039215687,0.7745098039215687,0.7745098039215687,102.0
0.9038461538461539,0.9306930693069307,0.9170731707317074,101.0
0.7523809523809524,0.7745098039215687,0.7632850241545894,102.0
0.7636363636363637,0.8316831683168316,0.7962085308056872,101.0
0.7777777777777778,0.7623762376237624,0.7699999999999999,101.0
0.6631578947368421,0.6847826086956522,0.6737967914438502,92.0
0.27380952380952384,0.22772277227722773,0.2486486486486487,101.0
0.47,0.47,0.47,100.0
0.8333333333333334,0.8235294117647058,0.8284023668639053,85.0
0.6458333333333334,0.6138613861386139,0.6294416243654822,101.0
0.7232142857142857,0.84375,0.778846153846154,96.0
0.5046728971962616,0.5346534653465347,0.5192307692307693,101.0
0.7657657657657657,0.8415841584158416,0.80188679245283,101.0
0.88,0.88,0.88,100.0
0.8444444444444444,0.7524752475247525,0.7958115183246073,101.0
0.8488372093023255,0.7227722772277227,0.7807486631016043,101.0
0.7204301075268817,0.6907216494845361,0.7052631578947368,97.0
0.5887850467289719,0.6631578947368421,0.6237623762376238,95.0
0.8461538461538461,0.8712871287128713,0.8585365853658536,101.0
0.660377358490566,0.693069306930693,0.6763285024154589,101.0
0.573170731707317,0.5222222222222223,0.5465116279069768,90.0
0.7435897435897436,0.8613861386138614,0.798165137614679,101.0
0.6804123711340206,0.6534653465346535,0.6666666666666667,101.0
0.6521739130434783,0.6122448979591837,0.631578947368421,98.0
0.9746835443037974,0.7777777777777778,0.8651685393258427,99.0
0.5714285714285714,0.5544554455445545,0.5628140703517588,101.0
0.6774193548387096,0.63,0.6528497409326425,100.0
0.7142857142857143,0.7425742574257426,0.7281553398058253,101.0
0.7719298245614035,0.8712871287128713,0.8186046511627906,101.0
0.8627450980392157,0.88,0.8712871287128714,100.0
0.5728155339805825,0.6483516483516484,0.6082474226804123,91.0
0.7653061224489796,0.78125,0.7731958762886597,96.0
0.5217391304347826,0.4752475247524752,0.49740932642487046,101.0
0.7798165137614679,0.8585858585858586,0.8173076923076924,99.0
0.6994687579053883,0.6994687579053883,0.6994687579053883,0.6994687579053883
0.6965741390217723,0.6995873136403922,0.6966954274378946,3953.0
0.696536709082448,0.6994687579053883,0.6966142331604972,3953.0
