classifier,arch,acc,prec,rec,f1
1,msdnet4,0.5443966607639767,0.5449189206568164,0.5647201615587342,0.5397327335621428
2,msdnet4,0.5952441183910954,0.5954896290577331,0.6037325901108203,0.5886313170459634
3,msdnet4,0.6076397672653681,0.608313182054283,0.6207364956896999,0.6020704159533213
4,msdnet4,0.6192764988616241,0.6194775785983563,0.6223377838199391,0.6129891919780182
