run,skip_n,bench_type,arch,pol,prec,rec,acc,f1,time
0,1,speed,resnet18,drop-norm-n,0.0,0.0,0.0,0.0,0.3926412849996268
1,1,speed,resnet18,drop-norm-n,0.0,0.0,0.0,0.0,0.3079299330001959
2,1,speed,resnet18,drop-norm-n,0.0,0.0,0.0,0.0,0.3715865800004394
3,1,speed,resnet18,drop-norm-n,0.0,0.0,0.0,0.0,0.3363164929996856
4,1,speed,resnet18,drop-norm-n,0.0,0.0,0.0,0.0,0.35189117700065253
5,1,speed,resnet18,drop-norm-n,0.0,0.0,0.0,0.0,0.35469520399965404
6,1,speed,resnet18,drop-norm-n,0.0,0.0,0.0,0.0,0.3970702959995833
7,1,speed,resnet18,drop-norm-n,0.0,0.0,0.0,0.0,0.38914913599910506
8,1,speed,resnet18,drop-norm-n,0.0,0.0,0.0,0.0,0.34784537099949375
9,1,speed,resnet18,drop-norm-n,0.0,0.0,0.0,0.0,0.37105361099929723
10,1,speed,resnet18,drop-norm-n,0.0,0.0,0.0,0.0,0.3683088060006412
11,1,speed,resnet18,drop-norm-n,0.0,0.0,0.0,0.0,0.35381478700037405
12,1,speed,resnet18,drop-norm-n,0.0,0.0,0.0,0.0,0.3903997920006077
13,1,speed,resnet18,drop-norm-n,0.0,0.0,0.0,0.0,0.37884329199914646
14,1,speed,resnet18,drop-norm-n,0.0,0.0,0.0,0.0,0.3723013920007361
15,1,speed,resnet18,drop-norm-n,0.0,0.0,0.0,0.0,0.3430268310003157
16,1,speed,resnet18,drop-norm-n,0.0,0.0,0.0,0.0,0.38344784500077367
17,1,speed,resnet18,drop-norm-n,0.0,0.0,0.0,0.0,0.3500351650000084
18,1,speed,resnet18,drop-norm-n,0.0,0.0,0.0,0.0,0.3757316129995161
19,1,speed,resnet18,drop-norm-n,0.0,0.0,0.0,0.0,0.38358924299973296
20,1,speed,resnet18,drop-norm-n,0.0,0.0,0.0,0.0,0.3452140489989688
21,1,speed,resnet18,drop-norm-n,0.0,0.0,0.0,0.0,0.28188818899980106
22,1,speed,resnet18,drop-norm-n,0.0,0.0,0.0,0.0,0.3360666089993174
23,1,speed,resnet18,drop-norm-n,0.0,0.0,0.0,0.0,0.3968706080013362
24,1,speed,resnet18,drop-norm-n,0.0,0.0,0.0,0.0,0.38856724300057977
25,1,speed,resnet18,drop-norm-n,0.0,0.0,0.0,0.0,0.2704999069992482
26,1,speed,resnet18,drop-norm-n,0.0,0.0,0.0,0.0,0.38207949500065297
27,1,speed,resnet18,drop-norm-n,0.0,0.0,0.0,0.0,0.3537270599990734
28,1,speed,resnet18,drop-norm-n,0.0,0.0,0.0,0.0,0.3492047419986193
29,1,speed,resnet18,drop-norm-n,0.0,0.0,0.0,0.0,0.392563366000104
0,2,speed,resnet18,drop-norm-n,0.0,0.0,0.0,0.0,0.3251567110000906
1,2,speed,resnet18,drop-norm-n,0.0,0.0,0.0,0.0,0.22698336299981747
2,2,speed,resnet18,drop-norm-n,0.0,0.0,0.0,0.0,0.223022187999959
3,2,speed,resnet18,drop-norm-n,0.0,0.0,0.0,0.0,0.2781834269990213
4,2,speed,resnet18,drop-norm-n,0.0,0.0,0.0,0.0,0.22856726099962543
5,2,speed,resnet18,drop-norm-n,0.0,0.0,0.0,0.0,0.33546846699937305
6,2,speed,resnet18,drop-norm-n,0.0,0.0,0.0,0.0,0.28336965199923725
7,2,speed,resnet18,drop-norm-n,0.0,0.0,0.0,0.0,0.296434034999038
8,2,speed,resnet18,drop-norm-n,0.0,0.0,0.0,0.0,0.27632302600068215
9,2,speed,resnet18,drop-norm-n,0.0,0.0,0.0,0.0,0.2553886590012553
10,2,speed,resnet18,drop-norm-n,0.0,0.0,0.0,0.0,0.33603487800064613
11,2,speed,resnet18,drop-norm-n,0.0,0.0,0.0,0.0,0.3382771019987558
12,2,speed,resnet18,drop-norm-n,0.0,0.0,0.0,0.0,0.3102658710013202
13,2,speed,resnet18,drop-norm-n,0.0,0.0,0.0,0.0,0.3518780499998684
